Numer;Dzien;Miesiac;Rok;L1;L2;L3;L4;L5
1;31;3;1976;2;13;28;29;38
2;28;4;1976;31;36;37;42;48
3;12;5;1976;3;9;28;33;46
4;9;6;1976;2;12;38;43;49
5;28;7;1976;10;22;23;29;41
6;25;8;1976;7;16;22;30;41
7;1;9;1976;6;15;39;43;45
8;8;9;1976;4;10;21;33;35
9;15;9;1976;2;25;27;46;48
10;22;9;1976;23;29;32;35;44
11;29;9;1976;1;7;37;39;45
12;6;10;1976;6;31;42;45;47
13;13;10;1976;8;19;27;39;41
14;20;10;1976;10;25;31;37;46
15;27;10;1976;23;39;41;42;48
16;3;11;1976;5;12;16;28;29
17;10;11;1976;5;11;31;35;37
18;17;11;1976;9;12;23;35;46
19;24;11;1976;8;12;19;23;42
20;1;12;1976;20;29;30;31;34
21;8;12;1976;2;5;9;32;38
22;15;12;1976;9;13;16;19;27
23;22;12;1976;15;21;32;34;38
24;29;12;1976;2;23;26;28;38
25;5;1;1977;1;6;16;37;38
26;12;1;1977;5;7;8;20;44
27;19;1;1977;6;9;11;17;47
28;26;1;1977;15;16;34;44;46
29;2;2;1977;9;13;37;38;42
30;9;2;1977;21;24;26;35;43
31;16;2;1977;4;14;23;24;34
32;23;2;1977;2;20;26;27;39
33;2;3;1977;12;14;16;19;22
34;9;3;1977;18;21;35;43;48
35;16;3;1977;2;15;27;35;43
36;23;3;1977;2;11;13;29;38
37;30;3;1977;2;10;21;26;30
38;6;4;1977;4;16;28;32;33
39;13;4;1977;2;5;8;31;35
40;20;4;1977;11;15;29;45;49
41;27;4;1977;1;3;9;11;42
42;4;5;1977;4;10;22;23;43
43;11;5;1977;19;20;24;25;43
44;18;5;1977;11;14;32;35;39
45;25;5;1977;14;28;32;42;49
46;1;6;1977;3;6;8;31;34
47;8;6;1977;2;6;18;19;41
48;15;6;1977;1;11;13;25;41
49;22;6;1977;17;24;37;42;46
50;29;6;1977;7;13;16;21;30
51;6;7;1977;22;26;28;31;38
52;13;7;1977;8;13;27;39;42
53;20;7;1977;3;28;35;42;47
54;27;7;1977;12;25;28;34;45
55;3;8;1977;6;27;30;32;36
